Test case 1:  $ java Simulate 3 15 50 35643

Range		Average Hops	 a	 b	stddev(a)	stddev(b)		chi^2			p-value
		Mean	Stddev
2		5.45	0.30	-0.94	1.28	0.74		0.19		0.045765		0.830604
3		6.84	0.37	-1.01	1.30	0.57		0.13		0.065466		0.967797
4		8.03	0.39	-0.97	1.29	0.46		0.10		0.085317		0.993539
5		9.39	0.35	-0.98	1.29	0.38		0.07		0.087803		0.999064
6		10.69	0.47	-0.98	1.30	0.34		0.06		0.088386		0.999880
7		12.01	0.44	-0.99	1.30	0.31		0.05		0.093630		0.999983
8		13.24	0.37	-0.98	1.29	0.27		0.04		0.103277		0.999997
9		14.59	0.39	-0.99	1.30	0.25		0.04		0.108318		1.000000
10		15.93	0.43	-1.00	1.30	0.24		0.03		0.125398		1.000000
11		17.30	0.40	-1.02	1.30	0.22		0.03		0.192493		1.000000
12		18.55	0.42	-1.02	1.30	0.21		0.02		0.196581		1.000000





Test Case 2:  $ java Simulate 3 30 100 53636

Range		Average Hops	 a	 b	stddev(a)	stddev(b)		chi^2			p-value
		Mean	Stddev
2		5.45	0.30	-0.85	1.26	0.69		0.18		0.017081		0.896017
3		6.78	0.31	-0.90	1.28	0.50		0.12		0.026389		0.986892
4		8.08	0.37	-0.92	1.28	0.42		0.09		0.033893		0.998357
5		9.42	0.35	-0.96	1.29	0.35		0.07		0.057678		0.999592
6		10.62	0.40	-0.94	1.29	0.32		0.06		0.068872		0.999935
7		11.95	0.45	-0.95	1.29	0.29		0.05		0.069292		0.999993
8		13.36	0.39	-0.98	1.30	0.26		0.04		0.134004		0.999994
9		14.63	0.43	-0.99	1.30	0.25		0.04		0.144699		0.999999
10		15.97	0.38	-1.00	1.30	0.23		0.03		0.173595		1.000000
11		17.28	0.38	-1.01	1.30	0.21		0.03		0.196084		1.000000
12		18.45	0.44	-1.00	1.30	0.20		0.02		0.228383		1.000000
13		19.84	0.35	-1.01	1.30	0.19		0.02		0.231278		1.000000
14		20.77	0.51	-0.98	1.30	0.19		0.02		0.665039		1.000000
15		21.67	0.59	-0.94	1.29	0.18		0.02		1.912222		0.999937
16		22.81	0.53	-0.88	1.28	0.18		0.02		3.723851		0.998510
17		23.78	0.53	-0.81	1.27	0.17		0.02		6.618595		0.979931
18		24.52	0.67	-0.75	1.26	0.17		0.02		10.411947		0.885453
19		25.59	0.60	-0.67	1.25	0.17		0.02		15.429427		0.632301
20		26.22	0.77	-0.60	1.24	0.17		0.01		21.069033		0.332999
21		27.21	0.77	-0.53	1.23	0.16		0.01		27.264304		0.127990
22		28.23	0.80	-0.46	1.22	0.16		0.01		33.293875		0.043058
23		29.09	0.89	-0.40	1.22	0.16		0.01		39.377003		0.012771
24		29.70	0.96	-0.34	1.21	0.16		0.01		46.927888		0.002289
25		30.36	1.07	-0.27	1.20	0.16		0.01		54.942910		0.000319
26		31.64	1.11	-0.22	1.19	0.15		0.01		61.302541		0.000069
27		32.52	1.22	-0.17	1.19	0.15		0.01		67.287785		0.000016




Test Case 3:  $ java Simulate 3 60 50 53636

Range		Average Hops	 a	 b	stddev(a)	stddev(b)		chi^2		p-value
		Mean	Stddev
2		5.45	0.30	-0.85	1.26	0.69		0.18		0.017081	0.896017
3		6.78	0.31	-0.90	1.28	0.50		0.12		0.026389	0.986892
4		8.08	0.37	-0.92	1.28	0.42		0.09		0.033893	0.998357
5		9.42	0.35	-0.96	1.29	0.35		0.07		0.057678	0.999592
6		10.62	0.40	-0.94	1.29	0.32		0.06		0.068872	0.999935
7		11.95	0.45	-0.95	1.29	0.29		0.05		0.069292	0.999993
8		13.36	0.39	-0.98	1.30	0.26		0.04		0.134004	0.999994
9		14.63	0.43	-0.99	1.30	0.25		0.04		0.144699	0.999999
10		15.97	0.38	-1.00	1.30	0.23		0.03		0.173595	1.000000
11		17.28	0.38	-1.01	1.30	0.21		0.03		0.196084	1.000000
12		18.45	0.44	-1.00	1.30	0.20		0.02		0.228383	1.000000
13		19.84	0.35	-1.01	1.30	0.19		0.02		0.231278	1.000000
14		20.77	0.51	-0.98	1.30	0.19		0.02		0.665039	1.000000
15		21.67	0.59	-0.94	1.29	0.18		0.02		1.912222	0.999937
16		22.81	0.53	-0.88	1.28	0.18		0.02		3.723851	0.998510
17		23.78	0.53	-0.81	1.27	0.17		0.02		6.618595	0.979931
18		24.52	0.67	-0.75	1.26	0.17		0.02		10.411947	0.885453
19		25.59	0.60	-0.67	1.25	0.17		0.02		15.429427	0.632301
20		26.22	0.77	-0.60	1.24	0.17		0.01		21.069033	0.332999
21		27.21	0.77	-0.53	1.23	0.16		0.01		27.264304	0.127990
22		28.23	0.80	-0.46	1.22	0.16		0.01		33.293875	0.043058
23		29.09	0.89	-0.40	1.22	0.16		0.01		39.377003	0.012771
24		29.70	0.96	-0.34	1.21	0.16		0.01		46.927888	0.002289
25		30.36	1.07	-0.27	1.20	0.16		0.01		54.942910	0.000319
26		31.64	1.11	-0.22	1.19	0.15		0.01		61.302541	0.000069
27		32.52	1.22	-0.17	1.19	0.15		0.01		67.287785	0.000016
28		33.30	1.10	-0.11	1.18	0.15		0.01		76.046322	0.000001
29		33.99	1.26	-0.05	1.17	0.15		0.01		84.069641	0.000000
30		34.87	1.08	0.03	1.16	0.15		0.01		95.571968	0.000000
31		35.82	1.08	0.11	1.15	0.15		0.01		107.003675	0.000000
32		36.50	1.57	0.15	1.15	0.15		0.01		113.427104	0.000000
33		37.16	1.45	0.20	1.14	0.14		0.01		122.329929	0.000000
34		37.86	1.44	0.26	1.14	0.14		0.01		132.484368	0.000000
35		38.75	1.50	0.31	1.13	0.14		0.01		142.117446	0.000000
36		39.80	1.28	0.38	1.12	0.14		0.01		154.741263	0.000000
37		40.32	1.63	0.43	1.12	0.14		0.01		163.921313	0.000000
38		41.54	1.90	0.47	1.12	0.14		0.01		170.053235	0.000000
39		42.14	1.63	0.52	1.11	0.14		0.01		179.761790	0.000000
40		42.73	1.78	0.57	1.10	0.14		0.01		189.037328	0.000000
41		43.85	1.61	0.62	1.10	0.14		0.01		199.534143	0.000000
42		44.22	1.88	0.67	1.09	0.14		0.01		208.944506	0.000000
43		45.23	1.73	0.72	1.09	0.13		0.01		219.785704	0.000000
44		46.01	1.88	0.76	1.08	0.13		0.01		229.339734	0.000000
45		46.53	2.19	0.80	1.08	0.13		0.01		237.365830	0.000000
46		47.79	2.01	0.84	1.08	0.13		0.01		245.946392	0.000000
47		48.58	2.14	0.88	1.07	0.13		0.01		253.813479	0.000000
48		49.34	2.07	0.92	1.07	0.13		0.01		262.654122	0.000000
49		49.41	2.42	0.95	1.07	0.13		0.01		271.040369	0.000000
50		49.94	1.77	1.02	1.06	0.13		0.01		288.081169	0.000000
51		50.69	1.97	1.07	1.05	0.13		0.01		302.119581	0.000000
52		52.38	2.07	1.12	1.05	0.13		0.01		312.047554	0.000000
53		52.93	2.54	1.15	1.05	0.13		0.01		319.372781	0.000000
54		53.49	2.21	1.19	1.04	0.13		0.01		329.929040	0.000000
55		54.21	2.51	1.22	1.04	0.13		0.01		338.494207	0.000000
56		55.33	3.19	1.24	1.04	0.13		0.01		343.495036	0.000000
57		56.15	2.54	1.28	1.03	0.13		0.01		351.575456	0.000000

